Price,Close,High,Low,Open,Volume
Ticker,SD,SD,SD,SD,SD
Date,,,,,
2026-04-02,15.449999809265137,15.930000305175781,15.350000381469727,15.670000076293945,405200
2026-04-06,15.5,15.649999618530273,15.295000076293945,15.350000381469727,298500
2026-04-07,15.850000381469727,15.90999984741211,15.579999923706055,15.579999923706055,333800
2026-04-08,15.279999732971191,15.289999961853027,14.371999740600586,14.739999771118164,444100
2026-04-09,15.380000114440918,15.8100004196167,15.152000427246094,15.300000190734863,776200
2026-04-10,15.430000305175781,15.510000228881836,15.220000267028809,15.279999732971191,279200
2026-04-13,15.470000267028809,15.84000015258789,15.40999984741211,15.729999542236328,334800
2026-04-14,14.789999961853027,15.399999618530273,14.729999542236328,15.260000228881836,420600
2026-04-15,14.859999656677246,14.899999618530273,14.680000305175781,14.699999809265137,214500
2026-04-16,14.970000267028809,15.069999694824219,14.850000381469727,14.859999656677246,320300
2026-04-17,14.380000114440918,14.414999961853027,13.90999984741211,14.364999771118164,479800
2026-04-20,14.460000038146973,14.609999656677246,14.300000190734863,14.420000076293945,254000
2026-04-21,14.710000038146973,14.779999732971191,14.470000267028809,14.510000228881836,264200
2026-04-22,15.0600004196167,15.0600004196167,14.729999542236328,14.729999542236328,259200
2026-04-23,15.229999542236328,15.40999984741211,15.0600004196167,15.0600004196167,285000
2026-04-24,15.100000381469727,15.225000381469727,15.029999732971191,15.119999885559082,296200
2026-04-27,15.279999732971191,15.420000076293945,15.15999984741211,15.260000228881836,278300
2026-04-28,15.510000228881836,15.649999618530273,15.359999656677246,15.539999961853027,222600
2026-04-29,15.649999618530273,15.739999771118164,15.489999771118164,15.640000343322754,377600
2026-04-30,15.550000190734863,15.680000305175781,15.270000457763672,15.289999961853027,284700
2026-05-01,15.34000015258789,15.390000343322754,14.920000076293945,15.390000343322754,400700
